callsign,min_time_date,max_time_date,min_time,max_time,time_diff_seconds,old_altitude,new_altitude,altitude_change_rate,min_speed,max_speed
CXK192,08-28-2025 22:25:59,08-28-2025 22:25:59,2025-08-28,2025-08-28,0,685.8,685.8,0.0,85.59,85.59
N139JB,08-28-2025 22:44:56,08-28-2025 22:44:56,2025-08-28,2025-08-28,0,6705.6,6705.6,0.0,266.13,266.13
SWA888,08-28-2025 22:25:19,08-28-2025 22:25:19,2025-08-28,2025-08-28,0,899.16,899.16,0.0,214.27,214.27
AAL1422,08-29-2025 05:43:50,08-29-2025 05:44:50,2025-08-29,2025-08-29,60,1386.84,1958.34,9.524984125026458,280.03,297.02
ENY3603,08-29-2025 05:39:50,08-29-2025 05:39:50,2025-08-29,2025-08-29,0,4541.52,4541.52,0.0,374.48,374.48
ENY4108,08-29-2025 04:57:00,08-29-2025 04:58:49,2025-08-29,2025-08-29,109,1775.46,3147.06,12.583474694059912,265.47,286.39
QTR2J,08-29-2025 04:45:53,08-29-2025 04:45:53,2025-08-29,2025-08-29,0,1394.46,1394.46,0.0,260.22,260.22
AAL1373,08-29-2025 04:34:03,08-29-2025 04:36:54,2025-08-29,2025-08-29,16614,3009.9,1828.8,-0.071090646014863,238.0,243.0
AAL1415,08-29-2025 05:13:50,08-29-2025 05:13:50,2025-08-29,2025-08-29,18830,906.78,906.78,0.0,192.87,192.87
AAL1500,08-29-2025 05:27:51,08-29-2025 05:27:51,2025-08-29,2025-08-29,19671,1150.62,1150.62,0.0,272.72,272.72
AAL1646,08-29-2025 05:33:00,08-29-2025 05:35:59,2025-08-29,2025-08-29,20159,1013.46,3276.6,0.112264496689992,264.81,339.67
AAL2210,08-29-2025 05:09:52,08-29-2025 05:10:51,2025-08-29,2025-08-29,18651,2880.36,2369.82,-0.0273733310419101,293.56,293.56
AAL2800,08-29-2025 04:34:02,08-29-2025 04:35:53,2025-08-29,2025-08-29,16553,3329.94,4785.36,0.0879248469285032,328.67,342.99
AAL2937,08-29-2025 05:43:50,08-29-2025 05:44:50,2025-08-29,2025-08-29,60,967.74,1577.34,10.159983066694886,238.26,295.15
AAL2958,08-29-2025 05:46:00,08-29-2025 05:49:51,2025-08-29,2025-08-29,231,1211.58,3025.14,7.850905692248618,243.58,304.79
AAL335,08-29-2025 05:42:56,08-29-2025 05:42:56,2025-08-29,2025-08-29,0,3063.24,3063.24,0.0,302.91,302.91
ANZ1,08-29-2025 05:39:50,08-29-2025 05:39:50,2025-08-29,2025-08-29,20390,10355.58,10355.58,0.0,500.89,500.89
ASH6273,08-28-2025 22:48:50,08-28-2025 22:48:50,2025-08-28,2025-08-28,82130,10988.04,10988.04,0.0,427.53,427.53
BTX6F,08-28-2025 22:29:04,08-28-2025 23:04:59,2025-08-28,2025-08-28,83099,0.0,1668.78,0.0200818300820926,0.0,265.94
DAL1104,08-29-2025 04:33:43,08-29-2025 04:33:43,2025-08-29,2025-08-29,16423,0.0,0.0,0.0,2.0,2.0
DAL1441,08-29-2025 05:01:51,08-29-2025 05:01:51,2025-08-29,2025-08-29,18111,3497.58,3497.58,0.0,351.37,351.37
EJA156,08-29-2025 05:27:33,08-29-2025 05:49:48,2025-08-29,2025-08-29,20988,0.0,0.0,0.0,0.0,0.12
EJA190,08-29-2025 05:23:47,08-29-2025 05:49:46,2025-08-29,2025-08-29,20986,0.0,0.0,0.0,0.12,0.12
EJA808,08-28-2025 22:31:49,08-28-2025 22:34:50,2025-08-28,2025-08-28,81290,0.0,2872.74,0.0353394020970114,12.5,289.38
EJA823,08-29-2025 05:45:34,08-29-2025 05:48:12,2025-08-29,2025-08-29,158,0.0,0.0,0.0,2.51,5.0
EJM256,08-28-2025 22:46:11,08-28-2025 22:46:11,2025-08-28,2025-08-28,81971,0.0,0.0,0.0,11.99,11.99
ENY3450,08-29-2025 05:38:51,08-29-2025 05:41:57,2025-08-29,2025-08-29,20517,701.04,2979.42,0.1110483983474757,214.62,290.43
ENY3537,08-29-2025 05:09:00,08-29-2025 05:12:53,2025-08-29,2025-08-29,18773,1691.64,4145.28,0.130700473388907,258.69,351.89
ENY3665,08-29-2025 05:05:50,08-29-2025 05:05:50,2025-08-29,2025-08-29,18350,4297.68,4297.68,0.0,348.86,348.86
ENY3666,08-29-2025 05:38:52,08-29-2025 05:42:57,2025-08-29,2025-08-29,20577,2362.2,4861.56,0.1214637696386073,299.7,383.91
ENY3902,08-29-2025 04:52:59,08-29-2025 04:52:59,2025-08-29,2025-08-29,17579,2903.22,2903.22,0.0,300.44,300.44
ENY3995,08-29-2025 04:35:54,08-29-2025 04:35:54,2025-08-29,2025-08-29,16554,2773.68,2773.68,0.0,287.63,287.63
ENY4205,08-29-2025 04:57:01,08-29-2025 04:57:52,2025-08-29,2025-08-29,17872,3284.22,3771.9,0.0272873767497349,334.4,362.68
ENY4254,08-29-2025 04:34:53,08-29-2025 04:34:53,2025-08-29,2025-08-29,16493,4800.6,4800.6,0.0,342.7,342.7
FDX1123,08-29-2025 05:37:49,08-29-2025 05:37:49,2025-08-29,2025-08-29,20269,1196.34,1196.34,0.0,259.33,259.33
FFT4316,08-28-2025 22:52:59,08-28-2025 22:52:59,2025-08-28,2025-08-28,82379,11277.6,11277.6,0.0,486.21,486.21
JIA5081,08-29-2025 05:49:52,08-29-2025 05:49:52,2025-08-29,2025-08-29,0,1158.24,1158.24,0.0,267.16,267.16
JIA5361,08-29-2025 05:29:54,08-29-2025 05:29:54,2025-08-29,2025-08-29,19794,1409.7,1409.7,0.0,240.67,240.67
LXJ5599,08-29-2025 04:49:50,08-29-2025 05:01:37,2025-08-29,2025-08-29,18097,1912.62,0.0,-0.1056871298796091,274.41,274.41
MRA208,08-28-2025 22:26:52,08-28-2025 22:26:52,2025-08-28,2025-08-28,80812,670.56,670.56,0.0,146.33,146.33
N100GG,08-29-2025 04:42:51,08-29-2025 04:51:43,2025-08-29,2025-08-29,17503,937.26,190.5,-0.0426646858100629,219.81,219.81
N122GB,08-29-2025 04:33:42,08-29-2025 04:36:24,2025-08-29,2025-08-29,16584,0.0,0.0,0.0,16.0,17.01
N135VR,08-28-2025 22:36:50,08-28-2025 22:36:50,2025-08-28,2025-08-28,81410,640.08,640.08,0.0,111.81,111.81
N144CA,08-28-2025 22:25:04,08-28-2025 22:32:17,2025-08-28,2025-08-28,81137,0.0,0.0,0.0,9.99,20.0
N214JT,08-28-2025 22:41:52,08-28-2025 22:44:56,2025-08-28,2025-08-28,81896,11269.98,11269.98,0.0,360.56,364.35
N222HK,08-28-2025 22:55:51,08-28-2025 22:58:51,2025-08-28,2025-08-28,82731,4693.92,5814.06,0.0135395438063851,305.13,355.18
N247KA,08-28-2025 22:31:28,08-28-2025 22:31:28,2025-08-28,2025-08-28,81088,0.0,0.0,0.0,14.0,14.0
N316CT,08-28-2025 22:28:00,08-28-2025 22:42:06,2025-08-28,2025-08-28,81726,0.0,0.0,0.0,0.0,27.0
N325JF,08-28-2025 22:24:26,08-28-2025 22:58:50,2025-08-28,2025-08-28,82730,0.0,1104.9,0.013355493758787,0.0,275.29
N331PL,08-28-2025 22:31:50,08-28-2025 22:35:27,2025-08-28,2025-08-28,81327,594.36,0.0,-0.0073082739959567,8.49,158.15
N42PY,08-28-2025 22:29:12,08-28-2025 22:35:52,2025-08-28,2025-08-28,81352,1021.08,2446.02,0.0175157340722837,139.3,143.73
N4418J,08-28-2025 22:38:01,08-28-2025 22:55:00,2025-08-28,2025-08-28,82500,739.14,1684.02,0.0114530908952083,85.04,116.3
N500SE,08-28-2025 22:34:00,08-28-2025 22:34:51,2025-08-28,2025-08-28,81291,777.24,1234.44,0.00562423883871,181.22,225.64
N638GM,08-28-2025 22:20:26,08-28-2025 22:20:26,2025-08-28,2025-08-28,80426,0.0,0.0,0.0,11.0,11.0
N644JC,08-28-2025 22:35:53,08-29-2025 05:18:00,2025-08-28,2025-08-29,105480,853.44,1150.62,0.0028174061406736,94.59,183.54
N680CM,08-28-2025 22:23:29,08-28-2025 23:00:18,2025-08-28,2025-08-28,82818,0.0,0.0,0.0,8.49,20.99
N716BR,08-28-2025 22:32:51,08-28-2025 22:43:58,2025-08-28,2025-08-28,81838,0.0,2286.0,0.0279332339158664,0.12,223.81
N725CG,08-28-2025 22:25:20,08-28-2025 22:25:20,2025-08-28,2025-08-28,80720,5669.28,5669.28,0.0,257.7,257.7
